node1,node2,structure_text,llm_full,llm_title,t1_structure,t1_full,t1_title
US-2021393344-A1,US-2023097906-A1,"A method is provided for generating an image from a medical device comprising an imaging system, an imaging device comprising a first and second section of the device, and an imaging device comprising a proximal portion of the device. In addition, the imaging device may be calibrated according to the orientation of the device. The imaging device comprises a plurality of instruments that are aligned at one end of the device with respect to a body surface, and a polarity modulator is applied to the instrument to determine the position of the instrument relative to the body surface.","Systems and methods for multi-source image-guided calibration of medical instruments are disclosed. A plurality of imaging instruments, each associated with a respective coordinate frame and access path to an anatomical site, are configured to concurrently acquire image data of the site and one or more interventional instruments. A processing unit is configured to determine differences between coordinate frames of the multiple imaging sources and the interventional instruments, and to compute a unified control frame of reference based on the reconciled multi-source image data. The unified control frame is used to update instrument guidance, registration, and navigation parameters in real time to improve accuracy of image-guided interventions.","A system and method are provided for image-guided control and calibration of medical instruments utilizing multi-source imaging data. The method includes acquiring patient-specific images from multiple modalities, registering the images to a common reference frame, and generating a composite guidance map. A medical instrument having a controllable actuation scheme is calibrated in real time based on the composite guidance map, with control parameters dynamically adjusted according to detected instrument position, tissue characteristics, and procedural stage. The system thereby enhances precision, safety, and repeatability of surgical interventions by tightly integrating calibrated instrument control with multi-source imaging feedback.",0.8752327519435285,0.8777683997466559,0.8854378578040136
US-2021393344-A1,US-2009135280-A1,"A surgical imaging system comprises a device that is actuated by a first and second axis to determine the position of an instrument relative to a focal point. The instrument is synchronized with a detector at one end of the device, and a detector at the other end of the device is synchronized with a detector at the other end of the device. A signal transmission method comprising an array of optically modulated light sources may be employed to control the output of an optically modulated light source from a detector at one end of the device.","A system and method are provided for multi-instrument medical navigation in which a plurality of scanning instruments access a common anatomical site via different access paths and share a coordinated imaging and control infrastructure. Each scanning instrument includes an imaging component configured to emit and/or receive light in distinct wavebands or modulation patterns to reduce crosstalk, while shared light sources, detectors, controllers, and processors generate multiplexed image data. A difference between respective coordinate frames associated with the instruments is determined based on the multiplexed image data, and a control frame of reference associated with at least one instrument is updated in response to the determined difference. The system enables simultaneous or time-multiplexed visualization and calibration of multiple instruments within a common anatomical site using a cost-efficient, shared imaging platform.","A system and method are provided for calibrated control of multi-modal medical imaging instruments while eliminating illumination crosstalk between multiple imaging devices. A control scheme calibration unit determines device-specific response characteristics and control parameters for each imaging modality, including illumination intensity, timing, and wavelength profiles. A coordinated controller synchronizes and dynamically adjusts the operating states of the imaging devices based on the calibration data to minimize interference and optimize image quality. The system thereby enables accurate, co-registered medical imaging from multiple sources with reduced artifacts and improved diagnostic reliability.",0.9053906139090329,0.8919399696006753,0.84888666523653
US-2021393344-A1,US-2018168757-A1,A system of the present invention provides a method for controlling and manipulating a surgical device. The system includes a motion sensor and a control mechanism for detecting and manipulating the motion of a surgical device. The control mechanism emits a resonant energy generated by the first and second components of the control mechanism. The resonant energy generated by the first and second components of the control mechanism is transmitted to a user at a fixed location. The resonant energy generated by the third component is transmitted to a user at a fixed location to be viewed.,"A system and method are provided for robotically assisted surgical bone removal using calibrated multi-instrument navigation. A first surgical instrument comprising a reciprocating bone-removal tool is controlled by a multi-axis robotic manipulator, and a second instrument comprising an imaging component accesses the same anatomical site via a different path. Image data from the second instrument is used to determine a difference between a first coordinate frame associated with the robotic bone-removal tool and a second coordinate frame associated with the imaging instrument. A control frame of reference for the robotic manipulator is updated based at least in part on the difference, thereby enabling precise, remotely controllable removal of hard tissue while avoiding soft tissue.","A system and method are provided for calibrating a robotic surgical system using a control scheme calibration framework adapted for medical instruments. The system comprises one or more robotic arms, surgical tools, and sensors configured to acquire real-time instrument position, force, and orientation data during a calibration procedure. A processor executes control algorithms that compare sensed parameters to target calibration profiles and automatically adjusts control gains, motion scaling, and tool alignment to optimize accuracy and responsiveness. The calibrated control scheme enables improved precision, safety, and repeatability of robot-assisted surgical interventions.",0.8895903941008871,0.8994240867831743,0.9005927698232065
US-2020100855-A1,US-2020405417-A1,"A surgical instrument system comprises a robotically actuated endoscope capable of manipulating a portion of a patient's body cavity. The robotically actuated endoscope is positioned proximal to the surgical instrument, and a guiding device is positioned proximal to the surgical instrument. The method of the invention includes a first-line technique for removing a portion of a patient's body cavity from a surgical instrument, and a second-line technique for insertion of a surgical instrument through a longitudinal slit.",Systems and methods are provided for coordinated robotic surgical procedures that integrate endoscopically-assisted percutaneous access with multi-arm platform control. A first robotic arm manipulates an endoscopic instrument having an onboard position sensor introduced through a natural orifice to define a target location within a treatment region. A second robotic arm percutaneously guides a therapeutic instrument toward the target location based on real-time positional data from the first instrument and platform pose adjustments. A control circuit synchronizes movements of the robotic arms and compensates for changes in surgical platform position to maintain spatial registration and enable cooperative execution of diagnostic and interventional tasks.,"A surgical robotic system configured to perform concomitant endoscopic and percutaneous procedures using multiple cooperative robotic arms is disclosed. A first robotic arm manipulates an endoscope within a patient body cavity, while one or more additional robotic arms cooperatively position and actuate percutaneous instruments introduced through the patient’s skin. A cooperative control module coordinates motion, force, and instrument trajectories across the arms to maintain stable tool-to-endoscope relationships and shared target alignment. Methods are provided for synchronized path planning, collision avoidance, and dynamic adjustment of tool poses based on intraoperative imaging and sensor feedback.",0.9016051806803571,0.9224221319811576,0.9136014100537664
US-2020100855-A1,US-2002065455-A1,"1 A method for manipulating surgical instruments comprises a catheter-shaped endoscope and a catheter-shaped guide device. The catheter-shaped guide device generates an image of the catheter-shaped guide device. The catheter-shaped guide device generates an image of the catheter-shaped guide device. In addition, the method is able to determine a relative position of the catheter-shaped guide device within a patient's body cavity without the need for a radial emission system. In addition, the method is able to identify a point of obstruction within a patient's body cavity.","A system and method for robotically-assisted percutaneous intervention are provided in which an endoscopically delivered instrument and a percutaneously delivered instrument are jointly localized using multi-sensor magnetic field tracking. A plurality of distinguishable magnetic fields are generated, and multiple sensors disposed near the distal ends of both instruments produce signals that are processed to determine six-degree-of-freedom pose for each instrument in a common reference frame. A target location is defined within a treatment region based on the endoscopic instrument pose, and the robotically-actuated percutaneous instrument is automatically guided toward and maintained at the target using the combined tracking data. The system can provide real-time visualization, collision avoidance, and coordinated control of both instruments during minimally invasive procedures.","A prospective invention comprises an integrated robotic medical platform configured to perform concomitant endoscopic and percutaneous procedures while providing real-time diagnostic imaging and treatment capabilities. The system includes a coordinated robotic manipulator array operatively coupled to endoscopic instruments and percutaneous access tools, and further interfaces with multimodal imaging subsystems for intraoperative visualization and guidance. Diagnostic algorithms process imaging and sensor data to characterize tissue and pathology, and automatically adjust robotic tool trajectories and treatment parameters. Methods are provided for planning, executing, and updating combined diagnostic, interventional, and imaging workflows during a single, continuous minimally invasive procedure.",0.8844217117412202,0.8941851446410174,0.90047053252097
US-2020100855-A1,US-2021212784-A1,"A surgical tool system comprises a surgical instrument capable of manipulating an endoscope to perform a surgical procedure at a location proximal to the endoscope. A surgical instrument comprises a first-axis rotational motor coupled to a cutting tool. A surgical instrument comprises a laser-guided image transmission device. The laser-guided image transmission device is coupled to a cutting tool. A method for determining the position of a surgical instrument is also provided, and a method for determining the position of a surgical instrument is also provided, and a method for.","A system and method are provided for managing and tracking usage of robotic surgical instruments during endoscopically-assisted percutaneous medical procedures. The method includes inserting a first medical instrument having an elongated shaft, a first position sensor, and at least one usage sensor into a treatment region of a patient through a natural orifice, and determining a first position of the first medical instrument within the treatment region. A second medical instrument is percutaneously guided toward a defined target location while images of the instruments are captured, a type of each robotic surgical instrument is identified based on the images, and a degree of usage of each instrument is determined from data acquired by the usage sensors. A stage in a life cycle of each instrument is then determined based on the identified instrument type and the determined degree of usage, and this life-cycle information is integrated into a robotically-enabled medical system to manage instrument selection, replacement, and procedural workflow.","A prospective invention relates to integrated robotic surgical systems and methods configured to coordinate concomitant endoscopic and percutaneous procedures while dynamically tracking instrument usage. The system includes multiple robotic arms manipulable for endoscopic access and percutaneous access, a control console, and a data acquisition module that records tool identification, deployment sequence, contact events, and cumulative usage metrics for each surgical instrument. A processor executes control algorithms to synchronize multi-port access, optimize tool trajectories, and adjust operating parameters based on real-time usage data and predefined safety thresholds. The invention further provides methods for generating procedure logs, predictive maintenance schedules, and automated alerts when instruments exceed recommended use profiles during combined minimally invasive interventions.",0.9025962673071058,0.8928781529837209,0.9099864906431073
US-2021085410-A1,US-2023100989-A1,"A system comprises a device for manipulating and tagging surgical instruments. The system includes a method for determining the position of a surgical instrument at a particular location. The method includes a first-arm motion detector coupled to one of the first-arm motion detectors. The method includes a set of control circuits that are electrically connected to at least one end of the system. In addition, a plurality of data input and output channels are provided to the system for generating and tagging a biometric image of the system.","Systems and methods are provided for coordinated control of multiple robotic medical tools based on real-time fiducial identification and tracking. A robotic camera and one or more robotic tools are inserted through separate patient ports, with each tool and relevant anatomical structures bearing fiducial markers automatically detected and tracked in the camera image. Tool kinematics and fiducial tracking data are fused to maintain remote centers of motion and to automatically adjust tool and camera poses so that instruments and target anatomy remain within the field of view. In various modes, a single controller commands coordinated motion of tools relative to tracked fiducials, or separate controllers independently manipulate the camera and tools while the system autonomously maintains spatial relationships constrained by the fiducial positions.","A system and method are provided for coordinating movements of multiple robotic surgical tools using real-time fiducial identification and tracking. The system includes a plurality of robotic instrument arms, each configured to manipulate a surgical tool, and an imaging subsystem configured to detect and track fiducial markers associated with anatomical structures, instruments, and/or reference frames. A control unit computes the spatial relationships between the fiducial markers and the robotic tools and generates coordinated motion commands that maintain desired tool-to-target geometries, collision avoidance, and constrained trajectories. In some embodiments, the system dynamically updates tool paths in response to intraoperative movement of tissue or instruments, thereby enabling precise, cooperative robotic maneuvers during minimally invasive surgical procedures.",0.9015714593619857,0.8979374141764653,0.9007162843892655
US-2021085410-A1,US-2010056900-A1,"A medical robotic device of the invention comprises a coupling system to provide a method for manipulating a body cavity during a surgical procedure. The device is positioned within the body cavity to provide a recognizable image to the user. The device is positioned in the body cavity to provide a recognizable image to the user. The invention also provides a method for inserting an endoscope into a patient, wherein the endoscope is operated on by a centrally operated device, wherein the endoscope is operated on by a centrally controlled device.","A robotic interventional medical system is provided for performing image-guided procedures within body cavities while coordinating multiple robotic tools and maintaining remote centers of motion. A multi-degree-of-freedom intracavitary device introduces and steers one or more medical instruments, such as needles, toward user-selected target points under real-time guidance from a medical imager. A robotic camera and additional treatment tools are controlled in coordinated modes so that the instruments remain within the camera’s field of view and comply with remote center-of-motion constraints at separate access ports or cavity entry points. Networked controllers process image data and user inputs to automatically synchronize tool trajectories, imaging viewpoints, and needle steering for precise, minimally invasive interventions performed locally or remotely.","A system and method are provided for coordinated robotic insertion and manipulation of a medical device within a patient’s body during a medical imaging procedure. A plurality of robotic tools are controlled in a coordinated manner to position, guide, and actuate an interventional device in real time based on image-derived feedback. The system includes a controller configured to synchronize multi-axis robotic movements with imaging acquisition parameters to maintain optimal device orientation, trajectory, and visibility. Related apparatus, software, and workflows are disclosed for improving procedural accuracy, reducing manual intervention, and enhancing safety in image-guided interventions.",0.8930348963542666,0.9090805994466423,0.9122230689747478
US-2021085410-A1,US-2016015471-A1,"A system of the invention includes a method for manipulating a surgical instrument, a device comprising at least one robotic actuator coupled to said actuator, and a device comprising a first-order camera coupled to said actuator. A method for obtaining and analyzing a patient's body position relative to said surgical instrument is provided. A method for transmitting and analyzing a patient's body position relative to said surgical instrument is provided. One or more embodiments of said embodiments may be configured to provide an electrical power source within said device.","A robotic surgical system is provided in which coordinated movements of multiple robotic tools and an imaging device are adaptively controlled based on a detected procedural context. The system maintains remote centers of motion while automatically adjusting tool trajectories and camera pose in response to image-based identification of instruments, procedural phase, and region of interest. A first controller enables user-directed motion of a primary tool or camera, while secondary tools and imaging modalities are autonomously reconfigured to remain within the field of view and to match context-specific configuration parameters. In some embodiments, images from one modality and detected surgical phase trigger automatic switching or reconfiguration of other imaging modalities and tool coordination modes.","A system and method are provided for performing coordinated, context-aware robotic interventions. A plurality of robotic tools are controlled via a coordination module that dynamically orchestrates multi-instrument movements based on a real-time surgical context model. The context model fuses sensor data, imaging, and procedural workflows to infer the current surgical phase, anatomical structures, and risk zones. Based on the inferred context, the system autonomously adjusts tool trajectories, interaction forces, and inter-tool timing to enhance safety, precision, and efficiency during the procedure.",0.9251652453397998,0.9216840906433673,0.8895572630163144
JP-2011217787-A,US-2014180290-A1,"A method for actuating a surgical manipulating device includes a virtual user interface and a computer-based control system. The virtual user interface provides haptic feedback to a surgical manipulating device. The virtual user interface provides a method for actuating a surgical manipulating device at a predetermined position relative to a haptic force source. The device may be equipped with a receptacle to store a haptic force source, which is used to determine the shape of a surgical instrument. The device may be equipped with a three-dimensional shape.","A surgical robotic system comprises an elongated guide section with a distal end member supporting a surgical tool, the attitude of the distal end member being adjusted by an internal attitude operation member driven by a controllable drive source. A non-contact attitude detection device detects the orientation of the distal end member relative to the guide section, and a control unit corrects attitude command values based on the detected attitude to compensate for variations in distal end straightness. The system further defines a virtual haptic interaction point associated with the surgical tool and establishes one or more virtual entry boundaries in the surgical field. A processing circuit activates haptic objects that constrain motion of the virtual haptic interaction point once a boundary is crossed, thereby providing virtual constraints on tool movement while maintaining accurate, automatically corrected distal end attitude control.","A system and method are provided for remotely actuating and haptically controlling a surgical tool during minimally invasive or robotic procedures. The system includes a remotely operated actuator configured to translate operator input signals into precise mechanical motion of one or more surgical end-effectors. A haptic interface generates force, vibration, and/or tactile feedback to the operator based on real-time sensor data from the surgical site and actuator state, enabling intuitive bidirectional interaction. The integrated control architecture coordinates motion control and haptic feedback to enhance precision, safety, and situational awareness in teleoperated surgery.",0.9068831954247787,0.9005434540770069,0.9012107925886229
