link_row,node1,node2,ours_text,baseline_text
0,US-2021393344-A1,US-2023097906-A1,"A method is provided for generating an image from a medical device comprising an imaging system, an imaging device comprising a first and second section of the device, and an imaging device comprising a proximal portion of the device. In addition, the imaging device may be calibrated according to the orientation of the device. The imaging device comprises a plurality of instruments that are aligned at one end of the device with respect to a body surface, and a polarity modulator is applied to the instrument to determine the position of the instrument relative to the body surface.","A novel medical instrument system is proposed that integrates multi-source imaging capabilities with advanced calibration methods for enhanced precision in surgical procedures. The system utilizes a first instrument for accessing anatomical sites and a second instrument equipped with a multi-source imaging component to generate real-time, comprehensive visual data. By synchronizing the coordinate frames of both instruments, the system ensures accurate spatial alignment of the imaging data with the surgical tools, facilitating improved decision-making and outcomes during minimally invasive surgeries. This technology enhances the efficiency and safety of procedures by providing surgeons with precise contextual information in real time."
1,US-2021393344-A1,US-2009135280-A1,"A surgical imaging system comprises a device that is actuated by a first and second axis to determine the position of an instrument relative to a focal point. The instrument is synchronized with a detector at one end of the device, and a detector at the other end of the device is synchronized with a detector at the other end of the device. A signal transmission method comprising an array of optically modulated light sources may be employed to control the output of an optically modulated light source from a detector at one end of the device.","A novel integrated imaging and calibration system for medical instruments is proposed, combining advanced imaging techniques with precise calibration methods. The system utilizes multiple light-emitting scanning devices configured to operate across distinct wavebands, facilitating the generation of high-resolution images while minimizing crosstalk. Simultaneously, a sophisticated calibration protocol adjusts the coordinate frames of various instruments accessing the anatomical site, enhancing the accuracy of image-guided procedures. This synergistic approach allows for real-time updates of the control frame of reference, ensuring optimal alignment and functionality of medical instruments during complex diagnostic and therapeutic interventions."
2,US-2021393344-A1,US-2018168757-A1,A system of the present invention provides a method for controlling and manipulating a surgical device. The system includes a motion sensor and a control mechanism for detecting and manipulating the motion of a surgical device. The control mechanism emits a resonant energy generated by the first and second components of the control mechanism. The resonant energy generated by the first and second components of the control mechanism is transmitted to a user at a fixed location. The resonant energy generated by the third component is transmitted to a user at a fixed location to be viewed.,"The invention provides a novel system and method for enhancing robotically assisted surgical procedures through integrated calibration and imaging capabilities. By combining the robotic multi-axis apparatus for tissue removal with advanced calibration techniques for medical instruments, the system enables precise alignment of surgical tools relative to real-time imaging data from the surgical site. This integration allows for improved accuracy in tissue manipulation while ensuring that soft tissues remain unharmed. The innovative approach facilitates remote surgical interventions with enhanced visualization and control, ultimately improving patient outcomes and expanding the capabilities of minimally invasive procedures."
3,US-2020100855-A1,US-2020405417-A1,"A surgical instrument system comprises a robotically actuated endoscope capable of manipulating a portion of a patient's body cavity. The robotically actuated endoscope is positioned proximal to the surgical instrument, and a guiding device is positioned proximal to the surgical instrument. The method of the invention includes a first-line technique for removing a portion of a patient's body cavity from a surgical instrument, and a second-line technique for insertion of a surgical instrument through a longitudinal slit.","The proposed invention integrates endoscopically-assisted percutaneous techniques with a dual robotic surgical system to enhance precision in minimally invasive procedures. This system employs a coordinated control circuit that simultaneously manages the positioning and movement of both the first robotic arm, which operates within a cavity, and the second robotic arm, designed for access through natural orifices. By utilizing real-time position sensing and feedback, the invention allows for dynamic adjustments to the instruments' trajectories, ensuring accurate targeting of predefined locations within the treatment region. This synergistic approach aims to improve surgical outcomes by facilitating complex procedures with greater safety and efficiency."
4,US-2020100855-A1,US-2002065455-A1,"1 A method for manipulating surgical instruments comprises a catheter-shaped endoscope and a catheter-shaped guide device. The catheter-shaped guide device generates an image of the catheter-shaped guide device. The catheter-shaped guide device generates an image of the catheter-shaped guide device. In addition, the method is able to determine a relative position of the catheter-shaped guide device within a patient's body cavity without the need for a radial emission system. In addition, the method is able to identify a point of obstruction within a patient's body cavity.","The prospective invention involves a hybrid robotic system that integrates endoscopic-assisted percutaneous procedures with advanced locating technology for invasive medical instruments. This system utilizes a combination of position sensors and magnetic field generators to accurately determine the location and orientation of both the endoscopic instrument and percutaneous tools within a treatment region. By employing real-time feedback and coordination between the two instruments, the system enhances precision and safety during complex medical interventions. The integration allows for automated guidance of percutaneous instruments to target locations defined by the endoscopic procedure, optimizing surgical outcomes."
5,US-2020100855-A1,US-2021212784-A1,"A surgical tool system comprises a surgical instrument capable of manipulating an endoscope to perform a surgical procedure at a location proximal to the endoscope. A surgical instrument comprises a first-axis rotational motor coupled to a cutting tool. A surgical instrument comprises a laser-guided image transmission device. The laser-guided image transmission device is coupled to a cutting tool. A method for determining the position of a surgical instrument is also provided, and a method for determining the position of a surgical instrument is also provided, and a method for.","The prospective invention relates to an advanced robotic-assisted surgical system that integrates endoscopic techniques with real-time instrument tracking and usage analysis. This system utilizes a first medical instrument equipped with position sensors to navigate through a patient's treatment region while simultaneously capturing images to identify and monitor additional robotic surgical instruments. By analyzing the captured data, the system can assess the degree of usage and lifecycle stage of the instruments in real time, enhancing operational efficiency and safety during complex procedures. This combined approach aims to improve precision in targeting treatment areas and optimize the management of surgical instruments throughout the procedure."
6,US-2021085410-A1,US-2023100989-A1,"A system comprises a device for manipulating and tagging surgical instruments. The system includes a method for determining the position of a surgical instrument at a particular location. The method includes a first-arm motion detector coupled to one of the first-arm motion detectors. The method includes a set of control circuits that are electrically connected to at least one end of the system. In addition, a plurality of data input and output channels are provided to the system for generating and tagging a biometric image of the system.","The invention relates to an advanced robotic surgical system that integrates fiducial identification and tracking with coordinated robotic tool movements for enhanced precision in minimally invasive procedures. By employing fiducial markers placed within the surgical site, the system dynamically adjusts the positions and movements of multiple robotic instruments in real-time, ensuring they remain within the optimal field of view of a robotic camera. This synergistic approach enables improved accuracy and efficiency during complex surgeries, allowing for seamless interaction between various robotic tools while maintaining remote centers of motion. Additionally, the system incorporates advanced algorithms for automatic recognition and tracking of fiducial markers, facilitating enhanced surgical navigation and outcomes."
7,US-2021085410-A1,US-2010056900-A1,"A medical robotic device of the invention comprises a coupling system to provide a method for manipulating a body cavity during a surgical procedure. The device is positioned within the body cavity to provide a recognizable image to the user. The device is positioned in the body cavity to provide a recognizable image to the user. The invention also provides a method for inserting an endoscope into a patient, wherein the endoscope is operated on by a centrally operated device, wherein the endoscope is operated on by a centrally controlled device.","The invention relates to an advanced robotic surgical system that integrates coordinated robotic tools with real-time imaging capabilities for enhanced precision in minimally invasive procedures. By combining the coordinated movement techniques of robotic tools from Patent A with the guided needle insertion technology from Patent B, the system allows for simultaneous operation of multiple robotic instruments while providing live feedback from medical imaging devices. This hybrid approach enables a clinician to navigate and manipulate tools within a patient's body more effectively, ensuring that surgical instruments remain aligned with real-time imaging for optimal targeting and accuracy during interventions. The result is a comprehensive platform that improves the safety and efficacy of procedures performed in constrained environments, such as within MRI or CT scanners."
8,US-2021085410-A1,US-2016015471-A1,"A system of the invention includes a method for manipulating a surgical instrument, a device comprising at least one robotic actuator coupled to said actuator, and a device comprising a first-order camera coupled to said actuator. A method for obtaining and analyzing a patient's body position relative to said surgical instrument is provided. A method for transmitting and analyzing a patient's body position relative to said surgical instrument is provided. One or more embodiments of said embodiments may be configured to provide an electrical power source within said device.","The proposed invention integrates robotic medical systems with adaptive configuration methods to enhance surgical procedures through real-time contextual awareness. By combining the coordinated movement capabilities of robotic tools from Patent A with the adaptive feedback mechanisms of Patent B, the system dynamically adjusts the operation of multiple robotic instruments based on the specific phase and context of the procedure, as detected through imaging and instrument identification. This synergistic approach ensures that robotic tools maintain optimal positioning and functionality, thereby improving precision and efficiency during complex medical interventions. The invention enables seamless transitions between different imaging modalities and surgical phases, ultimately enhancing the surgeon's ability to respond to dynamic changes in the operating environment."
9,JP-2011217787-A,US-2014180290-A1,"A method for actuating a surgical manipulating device includes a virtual user interface and a computer-based control system. The virtual user interface provides haptic feedback to a surgical manipulating device. The virtual user interface provides a method for actuating a surgical manipulating device at a predetermined position relative to a haptic force source. The device may be equipped with a receptacle to store a haptic force source, which is used to determine the shape of a surgical instrument. The device may be equipped with a three-dimensional shape.","The proposed invention combines a remotely operated actuator with an advanced surgical system to enhance precision in minimally invasive procedures. By integrating a haptic feedback mechanism that corresponds to the attitude control of the distal end member, the system allows surgeons to manipulate surgical tools with greater accuracy and control. The actuator's attitude detection device ensures real-time adjustments to the tool's positioning, while the virtual haptic interaction point provides tactile feedback as the tool approaches critical boundaries, thereby improving the surgeon's ability to navigate complex anatomical structures. This synergy of technologies facilitates safer and more efficient surgical interventions."
10,CN-102933163-A,US-2014180290-A1,"One of the methods of the present invention includes a virtual surgical tool system for manipulating anatomical data generated by a computer and displaying it to a user during a surgical procedure. The system is configured to detect anatomical changes in a patient during a surgical procedure. A user interface is configured to provide feedback to a surgeon on the anatomical position of a surgical implant. The anatomical position of a surgical implant can be correlated with the anatomical position of a surgical instrument, based on a combination of physical and electro-mechanical parameters.","A novel surgical system and method are proposed that integrate patient-specific 3D modeling with advanced haptic feedback to enhance precision in computer-assisted surgeries. This system utilizes a 3D model of the patient's anatomy, derived from imaging data, to inform the positioning and orientation of patient-matched instrumentation. Additionally, the system employs a virtual haptic interaction point that guides the surgical tool, providing tactile feedback and constraining movement according to predefined virtual boundaries, thereby improving the surgeon's control and accuracy during procedures. The integration of these technologies aims to optimize surgical outcomes and reduce the risks associated with complex interventions."
11,US-2019290247-A1,US-2013253550-A1,"A bi-sectional endoscopy device of the present invention comprises an implantable catheter that is able to be inserted into a body cavity for the purpose of generating an image of the surrounding tissue. The implantable catheter is anchored to the endoscope by means of a flexible suture. In addition, the implantable catheter is equipped with a magnetically activated ligand, a receptacle, and a protruding membrane. The ligand is positioned at the surface of the implantable catheter to facilitate insertion and dissection.","The proposed invention is an advanced surgical navigation system that integrates real-time image fusion capabilities with implantable anastomosis devices for minimally invasive procedures. This system employs the image fusion workstation technology from Patent A to overlay endoscopic and ultrasound imagery, providing surgeons with enhanced visualization of anatomical regions during the positioning and deployment of the implantable magnetic anastomosis device from Patent B. By enabling dynamic tracking and guidance of the anastomosis device as it self-assembles within the targeted tissue, the system aims to improve precision in creating anastomoses, reduce procedural complications, and enhance patient outcomes in minimally invasive surgeries across various anatomical sites."
