link_row,node1,node2,ours_text,baseline_run1,baseline_run2,baseline_run3
0,US-2021393344-A1,US-2023097906-A1,"A method is provided for generating an image from a medical device comprising an imaging system, an imaging device comprising a first and second section of the device, and an imaging device comprising a proximal portion of the device. In addition, the imaging device may be calibrated according to the orientation of the device. The imaging device comprises a plurality of instruments that are aligned at one end of the device with respect to a body surface, and a polarity modulator is applied to the instrument to determine the position of the instrument relative to the body surface.","Systems and methods are disclosed for coordinated calibration and control of multiple medical instruments using multi-source imaging. A first interventional instrument is advanced to an anatomical site along a first trajectory, while one or more imaging instruments, each following distinct access paths, acquire image data of the site and the first instrument from multiple perspectives. A set of coordinate frames associated with the interventional instrument and the multiple imaging sources is registered, and differences between the frames are computed. A unified control reference frame is dynamically updated based at least in part on the computed differences and the multi-source image data to enhance guidance, navigation, and targeting accuracy during a medical procedure.","Systems and methods are provided for multi-source image-guided calibration and control of medical instruments. A first instrument is configured to access an anatomical site via a first access path and to be controlled in a first control frame of reference, while a plurality of second instruments, each incorporating an imaging component, are configured to access the anatomical site via respective additional access paths and provide image data of the anatomical site and the first instrument. Differences between coordinate frames associated with each imaging source and the first instrument are determined and fused into a unified control frame of reference. The unified control frame is iteratively updated based on multi-source imaging data to enhance spatial accuracy, redundancy, and robustness of instrument guidance during medical procedures.","Devices, systems, and methods are disclosed for multi-source image-guided calibration and control of medical instruments. A first instrument is configured to access an anatomical site along a first path and is controlled in a first coordinate frame, while one or more additional instruments, each along respective access paths, include imaging components that provide multi-source image data of the anatomical site and the first instrument. A processor is configured to jointly register the multi-source image data, determine differences between coordinate frames associated with the instruments, and update a control frame of reference for the first instrument based at least in part on the fused imaging information. The updated control frame facilitates enhanced navigation, targeting, and procedural accuracy using coordinated multi-source imaging."
1,US-2021393344-A1,US-2009135280-A1,"A surgical imaging system comprises a device that is actuated by a first and second axis to determine the position of an instrument relative to a focal point. The instrument is synchronized with a detector at one end of the device, and a detector at the other end of the device is synchronized with a detector at the other end of the device. A signal transmission method comprising an array of optically modulated light sources may be employed to control the output of an optically modulated light source from a detector at one end of the device.","A system and method are provided for multi-path, coordinated medical imaging and instrument calibration using shared, multiplexed optical resources. A first medical instrument accesses an anatomical site via a first path and is controlled in a first coordinate frame, while one or more second instruments with imaging components access the site via different paths and operate in corresponding coordinate frames. A multiplexed imaging architecture employs multiple scanning devices and light receivers with waveband separation, temporal multiplexing, and/or modulation-demodulation schemes to generate co-registered images from the plurality of access paths while avoiding crosstalk. Differences between the coordinate frames are computed based on the multiplexed imaging data, and a control frame of reference associated with the first instrument is dynamically updated to provide accurate guidance and calibration across the multiple instrument access paths.","A system and method are provided for multi-path, multi-device image-guided calibration of medical instruments accessing a common anatomical site. A plurality of scanning instruments, each following a distinct access path, are configured with imaging components that operate using temporally or spectrally multiplexed light to avoid crosstalk and to share common light sources, detectors, and processing resources. Image data from the plurality of instruments are used to determine differences between respective instrument coordinate frames and a unified control frame of reference for an actively controlled or navigated instrument. The unified control frame is iteratively updated based at least in part on the demodulated, device-specific image signals to enhance registration accuracy and coordinated guidance of the instruments within the anatomical site.","A system and method are provided for multi-instrument medical navigation and imaging using shared, multiplexed optical resources. A first medical instrument accesses an anatomical site along a first path and is controlled in a first coordinate frame, while one or more second instruments, each equipped with an imaging or scanning component, access the site along different paths and operate in respective second coordinate frames. A plurality of scanning devices and light receivers are driven using shared light sources, detectors, and controllers, with crosstalk between instruments mitigated via wavelength division, temporal multiplexing, or modulation/demodulation schemes so that image data from each instrument is separable. A control frame of reference associated with the first instrument is dynamically updated based at least in part on differences between instrument coordinate frames derived from the multiplexed image data, thereby providing coordinated, low-cost, multi-instrument guidance."
2,US-2021393344-A1,US-2018168757-A1,A system of the present invention provides a method for controlling and manipulating a surgical device. The system includes a motion sensor and a control mechanism for detecting and manipulating the motion of a surgical device. The control mechanism emits a resonant energy generated by the first and second components of the control mechanism. The resonant energy generated by the first and second components of the control mechanism is transmitted to a user at a fixed location. The resonant energy generated by the third component is transmitted to a user at a fixed location to be viewed.,"A system and method are provided for robotically assisted surgical removal of hard or non-fibrous tissue using multi-axis robotic instruments with coordinated calibration. A first robotic instrument comprising a reciprocating tool is configured to access an anatomical site along a first access path for tissue removal, while a second robotic instrument comprising an imaging component is configured to access the anatomical site along a second access path to obtain real-time image data of the anatomical site and the first instrument. A control unit determines a difference between a first coordinate frame associated with the tissue-removal instrument and a second coordinate frame associated with the imaging instrument. Based at least in part on the determined difference, the system updates a control frame of reference for the tissue-removal instrument to enable precise, image-guided robotic resection while preserving surrounding soft tissue.","A system and method are provided for robotically assisted surgical bone removal with dynamic instrument calibration using intraoperative imaging. A first robotically controlled bone-removal instrument accesses a target anatomical site along a first access path, while a second instrument with an imaging component accesses the site along a second access path and generates real-time image data of the anatomy and the first instrument. A control system determines a difference between a coordinate frame of the first instrument and a coordinate frame of the imaging instrument, and updates a control frame of reference for the robotic bone-removal tool based on the difference. The updated control frame enables precise, image-guided robotic resection of hard tissue while maintaining safe separation from adjacent soft tissues, and may be operated locally or via telemanipulation.","A system and method are provided for robotically assisted surgical procedures that employ coordinated calibration between multiple instruments accessing a common anatomical site. A first robotically controlled instrument including a reciprocating tool is configured to remove hard or non-fibrous tissues along a planned trajectory, while a second instrument including an imaging component accesses the anatomical site along a different path to acquire real-time image data of the site and the first instrument. A difference between a coordinate frame associated with the first instrument and a coordinate frame associated with the second instrument is determined based at least in part on the acquired image data. A control frame of reference of the robotically controlled instrument is updated in response to the determined difference to enhance accuracy, safety, and remote operability of the tissue-removal procedure."
3,US-2020100855-A1,US-2020405417-A1,"A surgical instrument system comprises a robotically actuated endoscope capable of manipulating a portion of a patient's body cavity. The robotically actuated endoscope is positioned proximal to the surgical instrument, and a guiding device is positioned proximal to the surgical instrument. The method of the invention includes a first-line technique for removing a portion of a patient's body cavity from a surgical instrument, and a second-line technique for insertion of a surgical instrument through a longitudinal slit.","A system and method are provided for coordinated robotic endoscopic-percutaneous surgical procedures. The system includes a surgical platform carrying a first robotic arm that manipulably controls a percutaneous instrument and a second robotic arm that manipulably controls an endoscopic instrument inserted through a natural orifice, each arm having position sensing capability. A control circuit determines and registers the positions of both instruments within a common anatomical coordinate frame, defines a target location within a treatment region based on endoscopic sensing, and automatically guides the percutaneous instrument toward the target location while compensating for changes in platform position. The control circuit further coordinates cooperative interaction between the percutaneous and endoscopic instruments to perform diagnostic and therapeutic tasks within the treatment region.","A robotic surgical system enables coordinated endoscopic and percutaneous interventions within a patient using a common surgical platform. A first robotic arm manipulates an endoscopic instrument with an onboard position sensor introduced through a natural orifice to map and define a target location within a treatment region. A second robotic arm percutaneously guides a therapeutic instrument toward the defined target location, with the control circuit compensating for patient and platform motion and dynamically adjusting both arms’ positions and orientations. The control circuit further coordinates cooperative interaction between the endoscopic and percutaneous instruments to perform image-guided, robotically assisted surgical procedures at or near the target location.","A prospective system enables coordinated endoscopic and percutaneous robotic interventions using shared spatial registration and cooperative control. An elongated endoscopic instrument with an onboard position sensor is passed through a natural orifice to a treatment region, where its position is tracked and used to define one or more internal target locations. A surgical platform supporting multiple robotic arms then percutaneously guides secondary instruments toward the defined targets, automatically compensating for platform motion and patient movement. A control circuit synchronizes the positions and orientations of the endoscopic and percutaneous instruments to cooperatively perform complex procedures such as triangulation, tissue manipulation, and targeted therapy delivery."
4,US-2020100855-A1,US-2002065455-A1,"1 A method for manipulating surgical instruments comprises a catheter-shaped endoscope and a catheter-shaped guide device. The catheter-shaped guide device generates an image of the catheter-shaped guide device. The catheter-shaped guide device generates an image of the catheter-shaped guide device. In addition, the method is able to determine a relative position of the catheter-shaped guide device within a patient's body cavity without the need for a radial emission system. In addition, the method is able to identify a point of obstruction within a patient's body cavity.","A system and method are provided for robotically assisted, endoscopically guided percutaneous interventions using multi-sensor electromagnetic tracking. A first medical instrument including an elongated shaft and a plurality of distal electromagnetic sensors is introduced through a natural orifice, its six-degree-of-freedom pose continuously determined relative to an external field generator array to define a dynamic treatment map. A target location within the treatment region is identified based on the tracked pose of the first instrument, and a second medical instrument is percutaneously advanced under robotic control and real-time electromagnetic localization toward the target. The system integrates sensor fusion between endoscopic and percutaneous instruments to improve registration accuracy, procedural guidance, and safety in minimally invasive therapies.","Systems and methods are provided for robotically assisted, endoscopically guided percutaneous interventions using multi-sensor electromagnetic localization. An endoscopic instrument having an elongated shaft and a plurality of distal magnetic field sensors is inserted through a natural orifice into a treatment region, and its three-dimensional position and orientation are determined relative to an external reference frame using distinguishable AC magnetic fields generated by multiple field generators. A target location within the treatment region is defined based on the localized endoscope, and a percutaneous instrument under robotic control is guided toward the target using the same electromagnetic locating system for continuous tracking and alignment. The integrated system enables coordinated navigation, real-time targeting, and precise tool-to-target registration for minimally invasive procedures.","Systems and methods are disclosed for robotically-assisted percutaneous interventions that integrate multi-sensor magnetic tracking with endoscopic navigation. An endoscope carrying a plurality of magnetic field sensors is advanced through a natural orifice into a treatment region, where its six-degree-of-freedom pose is determined relative to external field generators. A robotic controller defines a target location within the treatment region based on the tracked endoscope position and subsequently guides a percutaneously introduced instrument toward the target under real-time positional feedback. The system thereby coordinates internal endoscopic visualization and tracking with external percutaneous tool navigation to improve accuracy and safety of minimally invasive procedures."
5,US-2020100855-A1,US-2021212784-A1,"A surgical tool system comprises a surgical instrument capable of manipulating an endoscope to perform a surgical procedure at a location proximal to the endoscope. A surgical instrument comprises a first-axis rotational motor coupled to a cutting tool. A surgical instrument comprises a laser-guided image transmission device. The laser-guided image transmission device is coupled to a cutting tool. A method for determining the position of a surgical instrument is also provided, and a method for determining the position of a surgical instrument is also provided, and a method for.","Systems and methods are provided for lifecycle-aware, robotically-assisted endoscopic-percutaneous procedures. A first instrument having an elongated shaft, a position sensor, and at least one usage sensor is inserted endoscopically into a treatment region, its position determined, and a target location defined. A second percutaneous robotic instrument is guided toward the target location while images captured during the procedure are used to identify instrument types and correlate them with sensor-derived usage data. Based on the identified instrument type and aggregated usage data across procedures, a stage in each instrument’s life cycle is determined and used to control instrument selection, provide maintenance alerts, and adjust procedural planning in real time.","A system and method for managing robotically-assisted endoscopic-percutaneous procedures integrates real-time instrument tracking with lifecycle monitoring. A first endoscopic instrument including a position sensor is inserted through a natural orifice to define a target location within a treatment region, while a second robotic instrument is percutaneously guided toward the target location. One or more imagers capture images of the instruments during the procedure, and a processor identifies instrument type and determines a degree of usage based on sensor data and image-derived information. The system further determines a lifecycle stage of each instrument and generates guidance or alerts regarding instrument deployment, replacement, or reuse during or after the robotically-enabled procedure.","A system for managing endoscopically-assisted percutaneous robotic procedures includes a first instrument having an elongated shaft, a position sensor, and a usage-tracking module, and a second percutaneously-introduced robotic instrument. The system determines a three-dimensional position of the first instrument within a treatment region via the position sensor and defines a target location for percutaneous approach. An imager captures images of the first and second instruments during the procedure, and a processor identifies instrument types and determines degrees of usage from sensor data to track life-cycle stages of each instrument. The robotic system uses both positional and life-cycle information to guide the second instrument toward the target location while enforcing instrument usage limits and replacement scheduling."
6,US-2021085410-A1,US-2023100989-A1,"A system comprises a device for manipulating and tagging surgical instruments. The system includes a method for determining the position of a surgical instrument at a particular location. The method includes a first-arm motion detector coupled to one of the first-arm motion detectors. The method includes a set of control circuits that are electrically connected to at least one end of the system. In addition, a plurality of data input and output channels are provided to the system for generating and tagging a biometric image of the system.","Systems and methods are provided for coordinated robotic medical procedures that integrate fiducial-based identification and tracking with multi-port robotic tool control. A robotic camera and multiple robotic instruments are inserted through separate patient ports, wherein fiducial markers disposed on tissue, instruments, or port structures are automatically detected and tracked in real time. The system dynamically adjusts remote centers of motion and coordinated tool trajectories based on fiducial-derived pose information to maintain instruments within the camera’s field of view and relative to targeted anatomical sites. Multiple control modes enable selective manual control of a camera or instrument while automatically updating the positions of other tools in response to changes in fiducial locations and orientations.","Disclosed are robotic medical systems and methods that integrate coordinated multi-tool control with automated fiducial-based tracking to enhance intraoperative guidance. A robotic camera and multiple robotic tools inserted through separate ports are controlled in coordinated motion while maintaining remote centers of motion, with the positions and orientations of the tools and anatomical targets continuously updated using fiducial identification and tracking. In various modes, the camera and tools are automatically repositioned to maintain all relevant fiducials within the field of view and to align tool trajectories with fiducial-defined target regions. The system thereby enables dynamic, image-guided, and cooperative manipulation of multiple instruments with improved accuracy and situational awareness.","Systems and methods are provided for robotically assisted medical procedures that integrate coordinated multi-tool control with fiducial-based identification and tracking. A robotic medical system includes a camera and multiple robotic tools inserted through separate ports, wherein movements of the tools and camera are automatically coordinated while maintaining remote centers of motion and ensuring that the tools remain within the camera’s field of view. Fiducial markers disposed on tools, instruments, anatomical landmarks, or implants are automatically identified and tracked in real time, and their positions are used to refine tool trajectories, update virtual overlays, and enhance coordination of camera and tool motion. The system may operate in multiple control modes in which user input on one or more controllers is combined with fiducial tracking data to dynamically adjust coordinated movements and improve procedural accuracy and safety."
7,US-2021085410-A1,US-2010056900-A1,"A medical robotic device of the invention comprises a coupling system to provide a method for manipulating a body cavity during a surgical procedure. The device is positioned within the body cavity to provide a recognizable image to the user. The device is positioned in the body cavity to provide a recognizable image to the user. The invention also provides a method for inserting an endoscope into a patient, wherein the endoscope is operated on by a centrally operated device, wherein the endoscope is operated on by a centrally controlled device.","A robotic image-guided interventional system and methods are provided for coordinating multiple intracavitary robotic tools and needle-based instruments under real-time medical imaging. A multi-port robotic platform with remote centers of motion positions and orients a camera and one or more therapeutic or diagnostic tools within a body cavity, while a three degree-of-freedom intracavitary mechanism advances and steers a needle toward an image-selected target. In response to user inputs at one or more controllers, networked computers process imaging data to automatically adjust the coordinated motion of the camera, tools, and needle so that the working instruments remain within the field of view and follow an optimized image-guided trajectory. The system enables remote or local operation inside MRI, CT, ultrasound, or X-ray environments while maintaining precise, coordinated alignment among visualization, access, and needle insertion paths.","A robotic image-guided interventional system and methods are provided for performing coordinated multi-port procedures inside and adjacent to body cavities under real-time medical imaging. A plurality of robotic tools, including at least one steerable needle device adapted for operation within an MRI, CT, fluoroscopy, or ultrasound imager, are inserted through separate ports or natural orifices and are controlled to maintain remote centers of motion while executing coordinated movements. A robotic camera or imaging-localized end effector is controlled in a first mode to define a dynamic field of interest, with the steerable needle and additional tools automatically coordinated to remain within this field and follow image-defined trajectories to target locations. In a second mode, a master controller directs the steerable needle device and associated tools toward image-selected targets while the camera or imaging reference automatically repositions to maintain optimal visualization and imaging compatibility.","A robotic image-guided interventional system and related methods are provided for performing coordinated, minimally invasive procedures within a patient using multiple robotic tools deployed through body cavities or laparoscopic ports under real-time medical imaging. A first controller actuates a 3-degree-of-freedom mechanical device configured to translate and rotate within a cavity and to advance and steer a needle toward a user-selected target within the imaging volume, while additional robotic tools and a robotic camera are automatically moved in coordinated fashion to maintain remote centers of motion and preserve a desired field of view. A second controller enables independent or shared control of the robotic camera, with automatic adjustment of the needle-guidance device and ancillary tools to remain within the imaging plane and camera view. Networked computers process real-time images from MRI, CT, fluoroscopy, or ultrasound, compute coordinated motion commands, and provide closed-loop control of the multi-tool robotic system for precise, image-guided targeting and intervention."
8,US-2021085410-A1,US-2016015471-A1,"A system of the invention includes a method for manipulating a surgical instrument, a device comprising at least one robotic actuator coupled to said actuator, and a device comprising a first-order camera coupled to said actuator. A method for obtaining and analyzing a patient's body position relative to said surgical instrument is provided. A method for transmitting and analyzing a patient's body position relative to said surgical instrument is provided. One or more embodiments of said embodiments may be configured to provide an electrical power source within said device.","Disclosed are systems and methods for context-aware coordinated control of multiple robotic medical tools and imaging devices during a medical procedure. A robotic controller maintains remote centers of motion while automatically coordinating the movements of multiple tools and at least one robotic camera, and dynamically adjusts their relative positions to preserve tool visibility within the camera’s field of view. Configuration parameters and control modes for the tools and imaging devices are adaptively selected based on real-time detection of instruments, procedure phase, and image-based contextual measures. In some embodiments, the inferred procedural context is further used to switch between different imaging modalities and to autonomously reorient tools and cameras for optimized access, safety, and visualization.","Systems and methods are provided for context-aware coordinated control of multiple robotic medical tools and imaging devices during a medical procedure. A robotic medical system maintains remote centers of motion while coordinating movements of therapeutic tools and robotic cameras, and dynamically reconfigures control modes based on the detected phase, context, or state of the procedure. Image-based identification of instruments and real-time inference of procedural phase are used to automatically adjust tool trajectories, camera viewpoints, and control assignments between operators and autonomous modes. In some embodiments, detection of specific tools or procedural contexts triggers adaptive switching between imaging modalities and corresponding updates to coordinated motion strategies.","A robotic medical system is provided that adaptively coordinates multiple robotic tools and imaging devices during a medical procedure based on real-time procedural context. A controller maintains remote centers of motion while automatically adjusting the positions and orientations of robotic instruments and cameras in coordinated movements responsive to detected instruments, surgical phase, or region of interest. Image-based detection and instrument identification are used to infer the current state or phase of the procedure and to dynamically reconfigure control modes, such as prioritizing field-of-view maintenance, instrument-centric coordination, or modality switching between imaging systems. The system thereby optimizes tool positioning, visualization, and device configurations throughout the evolving course of the procedure."
9,JP-2011217787-A,US-2014180290-A1,"A method for actuating a surgical manipulating device includes a virtual user interface and a computer-based control system. The virtual user interface provides haptic feedback to a surgical manipulating device. The virtual user interface provides a method for actuating a surgical manipulating device at a predetermined position relative to a haptic force source. The device may be equipped with a receptacle to store a haptic force source, which is used to determine the shape of a surgical instrument. The device may be equipped with a three-dimensional shape.","A remotely operated surgical actuator system includes an elongated guide section with a distal end member carrying a surgical tool, and a drive source for changing the attitude of the distal end member via an internal attitude operation member. A non-contact attitude detection device detects the orientation of the distal end member relative to the guide section, and correction means adjust command values supplied to the drive source to compensate for product-to-product variations in distal end straightness. A processing circuit associates the surgical tool with a virtual haptic interaction point, establishes at least one virtual entry boundary within a surgical workspace, and activates a haptic object that constrains movement of the tool when the virtual haptic interaction point crosses the boundary. The correction and haptic constraint control operate cooperatively to provide accurate, stable, and safe tool positioning during remote surgical procedures.","A remotely operated surgical actuator system includes an elongated guide section with a distal end member supporting a surgical tool, and a control unit configured to change the attitude of the distal end member via an internally disposed attitude operation member. A non-contact attitude detection device detects the orientation of the distal end member relative to the guide section, and a correction means adjusts command values to a drive source based on the detected attitude to compensate for product variation and bending. A processing circuit associates the surgical tool with a virtual haptic interaction point and defines a virtual entry boundary within a surgical workspace. When the virtual haptic interaction point crosses the virtual entry boundary, a haptic object is activated to constrain movement of the surgical tool in accordance with the corrected attitude control, thereby improving precision and safety of remote surgical manipulation.","A surgical manipulation system comprises an elongated guide section having a distal end member that supports a surgical tool, and a drive source configured to advance and retract an attitude operation member within the guide section to change the attitude of the distal end member. An attitude detection device non‑contactingly detects the attitude of the distal end member relative to the guide section, and a control unit corrects command values to the drive source based on the detected attitude. A virtual haptic interaction point is associated with the surgical tool such that movement of the virtual haptic interaction point corresponds to movement and attitude of the distal end member. The control unit further establishes a virtual entry boundary and activates a haptic object that constrains motion of the distal end member and surgical tool after the virtual haptic interaction point crosses the virtual entry boundary, thereby providing corrected, haptically guided attitude control during surgery."
