id,type,prospective_value
US-319296-A,existing,1
US-12096995-B2,existing,1
US-668879-A,existing,1
US-668878-A,existing,1
US-702789-A,existing,1
US-862712-A,existing,1
US-2121193-A,existing,1
US-2178840-A,existing,1
US-2187852-A,existing,1
US-2199025-A,existing,1
US-2235419-A,existing,1
US-2248054-A,existing,1
US-2270188-A,existing,1
US-2518276-A,existing,1
US-2557669-A,existing,1
US-2566499-A,existing,1
US-2621653-A,existing,1
US-2725053-A,existing,1
US-2830587-A,existing,1
DE-1903016-U,existing,1
US-3204635-A,existing,1
US-3347234-A,existing,1
US-3367809-A,existing,1
US-3391690-A,existing,1
US-3477429-A,existing,1
US-3513848-A,existing,1
US-3518993-A,existing,1
DE-1903316-A1,existing,1
US-3577991-A,existing,1
US-3596292-A,existing,1
US-3608539-A,existing,1
US-3625220-A,existing,1
US-3648705-A,existing,1
US-3653388-A,existing,1
US-3657056-A,existing,1
US-3656476-A,existing,1
US-3678980-A,existing,1
US-3709218-A,existing,1
US-3711347-A,existing,1
US-3739773-A,existing,1
US-3760808-A,existing,1
US-3788318-A,existing,1
US-3789852-A,existing,1
US-3802438-A,existing,1
US-3807394-A,existing,1
US-3809075-A,existing,1
US-3811449-A,existing,1
US-3825010-A,existing,1
US-3833003-A,existing,1
US-3835849-A,existing,1
US-3842824-A,existing,1
US-3845772-A,existing,1
US-3857396-A,existing,1
US-3867932-A,existing,1
US-3875652-A,existing,1
US-3898992-A,existing,1
US-3918442-A,existing,1
US-3968800-A,existing,1
US-3976079-A,existing,1
US-4023559-A,existing,1
US-4064566-A,existing,1
US-4089071-A,existing,1
US-4108399-A,existing,1
US-4156574-A,existing,1
US-4164794-A,existing,1
US-4171544-A,existing,1
US-4183102-A,existing,1
US-4199864-A,existing,1
US-4200939-A,existing,1
US-4210148-A,existing,1
US-4213816-A,existing,1
US-4235233-A,existing,1
US-4235238-A,existing,1
US-4244370-A,existing,1
US-4257411-A,existing,1
US-4265231-A,existing,1
US-4281649-A,existing,1
US-4291698-A,existing,1
US-4309488-A,existing,1
US-4320762-A,existing,1
GB-2093701-A,existing,1
US-4351069-A,existing,1
US-4364381-A,existing,1
US-4365356-A,existing,1
US-4388921-A,existing,1
US-4395798-A,existing,1
US-4409974-A,existing,1
US-4414166-A,existing,1
US-4437362-A,existing,1
US-4437941-A,existing,1
US-4444180-A,existing,1
US-4448194-A,existing,1
US-4456005-A,existing,1
US-4461281-A,existing,1
US-4493317-A,existing,1
US-4495664-A,existing,1
US-4501031-A,existing,1
US-4504268-A,existing,1
US-4506681-A,existing,1
US-4514125-A,existing,1
US-4526173-A,existing,1
US-4532926-A,existing,1
US-4535772-A,existing,1
US-4547327-A,existing,1
US-4556059-A,existing,1
US-4556350-A,existing,1
US-4566138-A,existing,1
US-4589868-A,existing,1
US-4590928-A,existing,1
US-4597379-A,existing,1
US-4599085-A,existing,1
US-4601893-A,existing,1
US-4606335-A,existing,1
US-4611593-A,existing,1
US-4621640-A,existing,1
DE-3517204-A1,existing,1
US-4630609-A,existing,1
US-4632101-A,existing,1
US-4645503-A,existing,1
US-4657460-A,existing,1
US-4659268-A,existing,1
US-4662063-A,existing,1
US-4662068-A,existing,1
US-4662887-A,existing,1
US-4669473-A,existing,1
US-4681107-A,existing,1
US-4685458-A,existing,1
US-4691741-A,existing,1
US-4705040-A,existing,1
