node_id,n_tok_raw,n_tok_post,edit_distance,sub,ins,del,norm_edit_distance,identical
prospective node 1 (row 0),98,98,0,0,0,0,0.0,1
prospective node 2 (row 1),97,97,0,0,0,0,0.0,1
prospective node 3 (row 2),97,96,1,0,0,1,0.0103,0
prospective node 4 (row 3),77,77,0,0,0,0,0.0,1
prospective node 5 (row 4),86,74,12,0,0,12,0.1395,0
prospective node 6 (row 5),89,89,0,0,0,0,0.0,1
prospective node 7 (row 6),88,88,0,0,0,0,0.0,1
prospective node 8 (row 7),91,63,28,0,0,28,0.3077,0
prospective node 9 (row 8),89,89,0,0,0,0,0.0,1
prospective node 10 (row 9),87,87,0,0,0,0,0.0,1
prospective node 11 (row 10),93,93,0,0,0,0,0.0,1
prospective node 12 (row 11),81,79,4,2,0,2,0.0494,0
prospective node 13 (row 12),79,79,0,0,0,0,0.0,1
prospective node 14 (row 13),85,85,0,0,0,0,0.0,1
prospective node 15 (row 14),92,86,6,0,0,6,0.0652,0
prospective node 16 (row 15),52,43,10,1,0,9,0.1923,0
prospective node 17 (row 16),80,79,1,0,0,1,0.0125,0
prospective node 18 (row 17),84,84,1,1,0,0,0.0119,0
prospective node 19 (row 18),88,88,0,0,0,0,0.0,1
prospective node 20 (row 19),95,95,0,0,0,0,0.0,1
prospective node 21 (row 20),78,78,0,0,0,0,0.0,1
prospective node 22 (row 21),92,92,0,0,0,0,0.0,1
prospective node 23 (row 22),83,80,3,0,0,3,0.0361,0
prospective node 24 (row 23),87,87,0,0,0,0,0.0,1
prospective node 25 (row 24),102,81,21,0,0,21,0.2059,0
prospective node 26 (row 25),101,101,0,0,0,0,0.0,1
prospective node 27 (row 26),89,89,1,1,0,0,0.0112,0
prospective node 28 (row 27),77,77,0,0,0,0,0.0,1
prospective node 29 (row 28),79,79,0,0,0,0,0.0,1
prospective node 30 (row 29),87,86,2,1,0,1,0.023,0
prospective node 31 (row 30),89,88,2,1,0,1,0.0225,0
prospective node 32 (row 31),84,84,1,1,0,0,0.0119,0
prospective node 33 (row 32),77,77,0,0,0,0,0.0,1
prospective node 34 (row 33),89,71,18,0,0,18,0.2022,0
prospective node 35 (row 34),82,82,0,0,0,0,0.0,1
prospective node 36 (row 35),74,73,1,0,0,1,0.0135,0
prospective node 37 (row 36),99,93,6,0,0,6,0.0606,0
prospective node 38 (row 37),83,83,0,0,0,0,0.0,1
prospective node 39 (row 38),80,80,0,0,0,0,0.0,1
prospective node 40 (row 39),79,78,1,0,0,1,0.0127,0
prospective node 41 (row 40),91,91,0,0,0,0,0.0,1
prospective node 42 (row 41),87,87,0,0,0,0,0.0,1
prospective node 43 (row 42),84,84,0,0,0,0,0.0,1
prospective node 44 (row 43),83,76,7,0,0,7,0.0843,0
prospective node 45 (row 44),90,90,0,0,0,0,0.0,1
prospective node 46 (row 45),90,20,70,0,0,70,0.7778,0
prospective node 47 (row 46),76,76,2,2,0,0,0.0263,0
prospective node 48 (row 47),89,89,1,1,0,0,0.0112,0
prospective node 49 (row 48),73,73,0,0,0,0,0.0,1
prospective node 50 (row 49),94,94,0,0,0,0,0.0,1
prospective node 51 (row 50),89,80,13,4,0,9,0.1461,0
prospective node 52 (row 51),82,81,1,0,0,1,0.0122,0
prospective node 53 (row 52),81,75,6,0,0,6,0.0741,0
prospective node 54 (row 53),85,85,0,0,0,0,0.0,1
prospective node 55 (row 54),77,64,13,0,0,13,0.1688,0
