node_id,n_ent_raw,n_ent_post,n_kept,n_new,n_lost,new_rate,lost_rate,new_entities,lost_entities
prospective node 1 (row 0),4,4,4,0,0,0.0,0.0,,
prospective node 2 (row 1),5,5,5,0,0,0.0,0.0,,
prospective node 3 (row 2),5,5,5,0,0,0.0,0.0,,
prospective node 4 (row 3),6,6,6,0,0,0.0,0.0,,
prospective node 5 (row 4),4,4,4,0,0,0.0,0.0,,
prospective node 6 (row 5),7,7,7,0,0,0.0,0.0,,
prospective node 7 (row 6),3,3,3,0,0,0.0,0.0,,
prospective node 8 (row 7),5,4,4,0,1,0.0,0.2,,device
prospective node 9 (row 8),4,4,4,0,0,0.0,0.0,,
prospective node 10 (row 9),4,4,4,0,0,0.0,0.0,,
prospective node 11 (row 10),3,3,3,0,0,0.0,0.0,,
prospective node 12 (row 11),5,5,5,0,0,0.0,0.0,,
prospective node 13 (row 12),5,5,5,0,0,0.0,0.0,,
prospective node 14 (row 13),4,4,4,0,0,0.0,0.0,,
prospective node 15 (row 14),1,1,1,0,0,0.0,0.0,,
prospective node 16 (row 15),3,4,3,1,0,0.25,0.0,radiation source,
prospective node 17 (row 16),5,5,5,0,0,0.0,0.0,,
prospective node 18 (row 17),5,5,5,0,0,0.0,0.0,,
prospective node 19 (row 18),3,3,3,0,0,0.0,0.0,,
prospective node 20 (row 19),2,2,2,0,0,0.0,0.0,,
prospective node 21 (row 20),3,3,3,0,0,0.0,0.0,,
prospective node 22 (row 21),6,6,6,0,0,0.0,0.0,,
prospective node 23 (row 22),7,6,6,0,1,0.0,0.1429,,method of generating force
prospective node 24 (row 23),3,3,3,0,0,0.0,0.0,,
prospective node 25 (row 24),3,2,2,0,1,0.0,0.3333,,device
prospective node 26 (row 25),3,3,3,0,0,0.0,0.0,,
prospective node 27 (row 26),3,3,3,0,0,0.0,0.0,,
prospective node 28 (row 27),8,8,8,0,0,0.0,0.0,,
prospective node 29 (row 28),3,3,3,0,0,0.0,0.0,,
prospective node 30 (row 29),2,2,2,0,0,0.0,0.0,,
prospective node 31 (row 30),3,3,3,0,0,0.0,0.0,,
prospective node 32 (row 31),3,4,3,1,0,0.25,0.0,measurements of the articular surface of the bone,
prospective node 33 (row 32),1,1,1,0,0,0.0,0.0,,
prospective node 34 (row 33),6,7,6,1,0,0.1429,0.0,surgical implant,
prospective node 35 (row 34),5,5,5,0,0,0.0,0.0,,
prospective node 36 (row 35),2,3,2,1,0,0.3333,0.0,computer-aided visualization,
prospective node 37 (row 36),4,3,3,0,1,0.0,0.25,,method
prospective node 38 (row 37),3,3,3,0,0,0.0,0.0,,
prospective node 39 (row 38),3,3,3,0,0,0.0,0.0,,
prospective node 40 (row 39),3,3,3,0,0,0.0,0.0,,
prospective node 41 (row 40),4,4,4,0,0,0.0,0.0,,
prospective node 42 (row 41),6,6,6,0,0,0.0,0.0,,
prospective node 43 (row 42),6,6,6,0,0,0.0,0.0,,
prospective node 44 (row 43),5,5,4,1,1,0.2,0.2,anchor,sleeve
prospective node 45 (row 44),7,7,7,0,0,0.0,0.0,,
prospective node 46 (row 45),5,4,3,1,2,0.25,0.4,method,second phase assembly | second phase assembly comprising a second phase assembly
prospective node 47 (row 46),5,5,5,0,0,0.0,0.0,,
prospective node 48 (row 47),9,9,9,0,0,0.0,0.0,,
prospective node 49 (row 48),5,5,5,0,0,0.0,0.0,,
prospective node 50 (row 49),8,8,8,0,0,0.0,0.0,,
prospective node 51 (row 50),7,9,6,3,1,0.3333,0.1429,first cutting method | second adjustment method | second cutting method,second method of cutting the instrument
prospective node 52 (row 51),5,5,5,0,0,0.0,0.0,,
prospective node 53 (row 52),5,5,5,0,0,0.0,0.0,,
prospective node 54 (row 53),3,3,3,0,0,0.0,0.0,,
prospective node 55 (row 54),3,2,2,0,1,0.0,0.3333,,plurality of endoscopes
