node_id,cos_target_raw,cos_target_post,cos_raw_post,stored_round_trip_raw,delta_post_minus_raw
prospective node 1 (row 0),0.946444,0.946439,0.999999,0.946428,-5e-06
prospective node 2 (row 1),0.956854,0.956854,1.0,0.956839,0.0
prospective node 3 (row 2),0.931472,0.932109,0.999704,0.931461,0.000637
prospective node 4 (row 3),0.956353,0.956353,1.0,0.956324,0.0
prospective node 5 (row 4),0.952846,0.953644,0.999213,0.952604,0.000798
prospective node 6 (row 5),0.957615,0.957615,1.0,0.957661,0.0
prospective node 7 (row 6),0.945673,0.945673,1.0,0.9456,0.0
prospective node 8 (row 7),0.949513,0.948769,0.997467,0.949533,-0.000744
prospective node 9 (row 8),0.953112,0.953112,1.0,0.953167,0.0
prospective node 10 (row 9),0.959053,0.959053,1.0,0.959026,0.0
prospective node 11 (row 10),0.962363,0.962032,0.999676,0.962395,-0.000331
prospective node 12 (row 11),0.940764,0.941395,0.99973,0.940795,0.000631
prospective node 13 (row 12),0.963199,0.963199,1.0,0.963219,0.0
prospective node 14 (row 13),0.965212,0.965212,1.0,0.965203,0.0
prospective node 15 (row 14),0.920771,0.921487,0.999515,0.920813,0.000716
prospective node 16 (row 15),0.959371,0.960499,0.998622,0.959391,0.001128
prospective node 17 (row 16),0.942621,0.941573,0.999042,0.942562,-0.001048
prospective node 18 (row 17),0.950818,0.950881,0.999987,0.950855,6.3e-05
prospective node 19 (row 18),0.944214,0.944984,0.998652,0.944271,0.00077
prospective node 20 (row 19),0.957441,0.957441,1.0,0.957416,0.0
prospective node 21 (row 20),0.911231,0.911257,0.999999,0.911201,2.6e-05
prospective node 22 (row 21),0.959318,0.959318,1.0,0.959351,0.0
prospective node 23 (row 22),0.95734,0.957779,0.998638,0.957381,0.000439
prospective node 24 (row 23),0.936452,0.936452,1.0,0.936429,0.0
prospective node 25 (row 24),0.960812,0.95801,0.99633,0.960715,-0.002802
prospective node 26 (row 25),0.952235,0.952235,1.0,0.95226,0.0
prospective node 27 (row 26),0.966655,0.966597,0.999989,0.96664,-5.8e-05
prospective node 28 (row 27),0.963549,0.963549,1.0,0.963548,0.0
prospective node 29 (row 28),0.956538,0.956356,0.999401,0.956654,-0.000182
prospective node 30 (row 29),0.95195,0.952559,0.999537,0.951998,0.000609
prospective node 31 (row 30),0.956978,0.956384,0.999601,0.957001,-0.000594
prospective node 32 (row 31),0.945744,0.947416,0.998362,0.945795,0.001672
prospective node 33 (row 32),0.957914,0.957914,1.0,0.957957,0.0
prospective node 34 (row 33),0.957757,0.956738,0.997982,0.957744,-0.001019
prospective node 35 (row 34),0.94307,0.94307,1.0,0.943069,0.0
prospective node 36 (row 35),0.967098,0.966453,0.999607,0.967118,-0.000645
prospective node 37 (row 36),0.957767,0.957179,0.999238,0.957721,-0.000588
prospective node 38 (row 37),0.960657,0.960682,0.999999,0.960709,2.5e-05
prospective node 39 (row 38),0.951315,0.951321,0.999994,0.951354,6e-06
prospective node 40 (row 39),0.949084,0.949787,0.999642,0.949134,0.000703
prospective node 41 (row 40),0.968183,0.968262,0.999996,0.968204,7.9e-05
prospective node 42 (row 41),0.96278,0.962795,0.999997,0.96275,1.5e-05
prospective node 43 (row 42),0.961333,0.961392,0.999998,0.961306,5.9e-05
prospective node 44 (row 43),0.94537,0.944329,0.999536,0.945388,-0.001041
prospective node 45 (row 44),0.925795,0.925768,0.999872,0.925702,-2.7e-05
prospective node 46 (row 45),0.91913,0.922057,0.974559,0.919061,0.002927
prospective node 47 (row 46),0.937668,0.93711,0.999512,0.937842,-0.000558
prospective node 48 (row 47),0.956038,0.955185,0.999235,0.956004,-0.000853
prospective node 49 (row 48),0.935775,0.935766,0.999998,0.93577,-9e-06
prospective node 50 (row 49),0.946913,0.947142,0.999539,0.946927,0.000229
prospective node 51 (row 50),0.93588,0.9358,0.998392,0.935903,-8e-05
prospective node 52 (row 51),0.947134,0.946705,0.99932,0.947279,-0.000429
prospective node 53 (row 52),0.941477,0.941055,0.998467,0.94149,-0.000422
prospective node 54 (row 53),0.957598,0.957598,1.0,0.95762,0.0
prospective node 55 (row 54),0.934822,0.933441,0.995918,0.93483,-0.001381
