node1,node2,probability
US-2021393344-A1,US-2023097906-A1,0.9994119
US-2021393344-A1,US-2009135280-A1,0.9994119
US-2021393344-A1,US-2018168757-A1,0.9994119
US-2020100855-A1,US-2020405417-A1,0.9983598
US-2020100855-A1,US-2002065455-A1,0.9983598
US-2020100855-A1,US-2021212784-A1,0.9983598
US-2021085410-A1,US-2023100989-A1,0.9940685
US-2021085410-A1,US-2010056900-A1,0.9940685
US-2021085410-A1,US-2016015471-A1,0.9940685
JP-2011217787-A,US-2014180290-A1,0.98547727
CN-102933163-A,US-2014180290-A1,0.98547727
US-2019290247-A1,US-2013253550-A1,0.9838995
US-2018049821-A1,US-2008065110-A1,0.9822852
US-2017360509-A1,US-2014031664-A1,0.9785678
JP-2016505326-A,US-9588583-B2,0.9785678
US-10716630-B2,US-2014031664-A1,0.9785678
JP-2014531920-A,US-2014031664-A1,0.9785678
WO-2016089870-A1,US-9588583-B2,0.9785678
US-2012071893-A1,US-9588583-B2,0.9785678
US-2017172662-A1,EP-3679851-A1,0.9764616
US-2014194732-A1,US-2021289189-A1,0.9764616
US-9861271-B2,EP-3679851-A1,0.9764616
US-2017360512-A1,US-2020222205-A1,0.96785104
US-2017360512-A1,US-2010100102-A1,0.96785104
US-10383765-B2,US-11344374-B2,0.9632881
US-10383765-B2,US-2022183779-A1,0.9632881
US-10383765-B2,US-2022101745-A1,0.9632881
US-2017258526-A1,US-2019275323-A1,0.93792325
US-2017258526-A1,WO-2013132501-A1,0.93792325
US-2013211792-A1,US-9655683-B2,0.9342502
US-11484368-B2,US-2019133791-A1,0.9315711
US-2015057756-A1,US-2008056433-A1,0.91321623
US-2015057756-A1,US-10813715-B1,0.91321623
US-2017258526-A1,US-2021093393-A1,0.8969288
US-2010153076-A1,US-2004116835-A1,0.89674747
US-10537388-B2,US-2022160440-A1,0.89365435
US-2007270685-A1,US-10575913-B2,0.86665744
US-2018049895-A1,US-2009198240-A1,0.7932066
US-8118815-B2,US-2009198240-A1,0.7932066
US-2018177612-A1,US-2009198240-A1,0.7932066
US-2017189131-A1,US-2016007827-A1,0.77525914
US-2017189131-A1,US-2014005684-A1,0.77525914
US-2017189131-A1,US-2011058033-A1,0.77525914
US-7104997-B2,US-2017165006-A1,0.76282805
WO-2007030866-A1,US-2017086941-A1,0.76282805
US-2011060341-A1,DE-202010000518-U1,0.76282805
US-5037423-A,DE-202005015080-U1,0.76282805
US-9005207-B2,DE-202005015080-U1,0.76282805
US-5234433-A,US-2017086941-A1,0.76282805
US-5683397-A,DE-202005015080-U1,0.76282805
US-9005207-B2,DE-202010000518-U1,0.76282805
US-2021393338-A1,US-2019289284-A1,0.7525434
US-2010158330-A1,US-2023270562-A1,0.62210745
US-10251714-B2,US-2023270562-A1,0.62210745
CN-102958426-A,US-2023270562-A1,0.62210745
