id,title,abstract,publication_date,cpc_codes
US-2018014988-A1,Robotic mobility device,"A mobility device, including a base, a first omnidirectional wheel mounted at a first side of a forward portion of the base to rotate about a first axis, a second omnidirectional wheel mounted at a second side of the forward portion of the base to rotate about the first axis, a third wheel mounted at a rearward portion of the base to rotate about a second axis, a drive system to move the first omnidirectional wheel, the second omnidirectional wheel, and the third wheel according to input received indicating a desired motion of the mobility device, a seat for a user of the mobility device, and a linear actuator coupling the seat to the base to drive the adjustable seat in a vertical direction according to the input received indicating the desired motion of the mobility device.",20180118,A61G5/1059; A61G5/006; A61G5/025; A61G5/04; A61G5/14; A61G5/04; A61G5/023; A61G5/023; A61G5/006; A61G2203/18; A61G2203/44; G16H40/63; A61G5/1035; A61G5/1035; A61G5/025; A61G5/125; A61G5/1059; A61G2203/44; A61G2203/14; G16H20/30; A61G5/1059; A61G5/1024; A61G2203/14; G16H40/63; A61G5/042; A61G5/1067; A61G5/14; G16H20/30; A61G5/128; A61G5/125; A61G5/128; A61G5/042; A61G2203/18; A61G5/1024; A61G5/1067; A61G5/025
US-2016183841-A1,Graphical User Interface For Catheter Positioning And Insertion,A method of guiding an interventional instrument within a patient anatomy comprises processing a target location within the patient anatomy and receiving a position for a tip portion of an interventional instrument at a first location within the patient anatomy. The method also comprises determining a three-dimensional distance between the first location and the target location and displaying a symbol representing the target location and a symbol representing the tip portion of the interventional instrument.,20160630,A61B17/34; A61B5/743; A61B2034/2051; A61M25/0105; A61B5/066; A61B2034/107; A61B2034/2061; A61B2010/045; A61B2010/045; A61M2025/0166; A61B34/30; A61B2010/045; A61B5/066; A61B5/743; A61B34/25; A61B2034/107; A61B34/30; A61B2034/2061; A61B34/25; A61B17/34; A61M25/0105; A61M25/01; A61M2025/0166; A61B2034/2051; A61M25/0105; A61B17/34; A61B34/25; A61B34/30; A61B1/04; A61B5/066; A61B5/743; A61B2034/107; A61B2034/2051; A61B2034/2061; A61M2025/0166; A61B2010/045
US-7063682-B1,Catheter distal assembly with pull wires,"A catheter assembly having a sheath, which includes a side wall enclosing an interior bore, and a distal region. The assembly also has a bendable catheter tube, which is carried for sliding movement in the interior bore. A pull wire also runs through the interior bore of the sheath, preferably within a lumen. The catheter tube has a distal portion with a coupling which joins the distal portion of the catheter tube and the distal portion of the pull wire. Relative movement of the pull wire and the sheath causes bending of the catheter tube outwardly through the opening, in response to sliding movement of the catheter tube within the interior bore toward the distal region of the sheath.",20060620,A61M25/01; A61B18/1492; A61M2025/015; A61B2017/00867; A61B2018/00577; A61B2018/1467; A61M2025/0163; A61B2018/00065; A61B2018/00553; A61M25/0043; A61M25/0147; C08L2201/12; A61B2018/142; A61M25/0152; A61B2018/1407; A61B2018/00797; A61M25/0144; A61B2018/1861; A61M2025/0163; C08L2201/12; A61B2018/1407; A61M2025/015; A61B2018/1861; A61M25/0152; A61M25/01; A61M25/0043; A61B2017/00867; A61B2018/1467; A61B2018/00577; A61B2018/00553; A61M25/0147; A61B2018/00797; A61M25/0144; A61B18/1492; A61B2018/142; A61B2018/00065
US-7217240-B2,Heart stabilizer,A heart stabilizer that may include a wrist which couples an end effector to a first linkage. The end effector and wrist may be inserted through an incision in the chest of a patient to assist in performing a minimally invasive coronary procedure. The wrist provides dexterity so that the end effector can be placed on the heart to stabilize the same. The end effector may include a pair of paddles that are moved between open and closed positions by a pair of manually actuated levers. The paddles may have cleats that allow sutures to be attached to the stabilizer during a minimally invasive procedure.,20070515,A61B2017/0243; A61B2017/306; A61B17/02; A61B2017/306; A61B17/02; A61B2017/0243
US-2019125459-A1,Method of hub communication with surgical instrument systems,"A method for adjusting the operation of a surgical suturing instrument using machine learning in a surgical suite is disclosed. The method comprises gathering data during surgical procedures, wherein the surgical procedures include the use of a surgical suturing instrument comprising a suturing needle configured to be mechanically advanced through a suturing stroke, analyzing the gathered data to determine an appropriate operational adjustment of the surgical suturing instrument, and adjusting the operation of the surgical suturing instrument to improve the operation of the surgical suturing instrument.",20190502,A61B34/25; A61B2017/2926; A61B2017/320094; A61B17/07207; A61B2017/2941; A61B2017/00017; A61B2017/2927; A61B2217/005; A61B34/20; A61B2034/2051; A61B2017/00039; A61B90/96; A61B2090/0811; A61B90/98; A61B2017/00473; A61B34/10; A61B2017/00057; A61B2017/00199; A61B2017/00477; A61B2090/061; A61B2017/320074; A61B34/30; A61B2017/00809; A61B2017/00026; A61B2017/00464; A61B2017/07271; A61B17/1155; A61B17/1285; A61B2090/066; A61B17/083; A61B2090/365; A61B34/37; A61B2017/2945; A61B90/90; G16H40/00; A61B2218/008; A61B2018/126; A61B2034/107; A61B2017/00061; A61B2017/00221; A61B17/29; A61B17/062; A61B17/1222; A61B2018/1253; A61B17/0644; A61B2017/2943; A61B2017/00398; A61B2017/00084; A61B2090/0803; A61B17/105; A61B17/072; A61B17/3421; A61B5/00; A61B2017/00022; A61B2017/2825; A61B34/76; A61B2017/00119; A61B2017/07214; A61B2090/366; A61B2017/00115; A61B2017/00734; A61B2017/00725; A61B2017/0046; A61B18/1206; A61B2017/0003; A61B17/0206; A61B2090/065; A61B2090/0808; A61B90/30; A61B2217/007; A61B17/320068; A61B2034/2055; A61B17/072; A61B17/105; A61B17/1285; A61B34/25; A61B34/30; A61B18/1206; A61B17/29; A61B34/20; A61B34/10; G16H20/40; G16H40/63; A61B2017/2926; A61B34/76; A61B17/1285; A61B2090/0811; A61B2017/00477; A61B2017/00221; A61B2017/00199; A61B2017/00115; A61B90/30; A61B17/29; A61B34/30; A61B2218/008; A61B2017/320074; A61B2017/2945; A61B2017/2943; A61B2017/2941; A61B2017/2825; A61B90/96; A61B90/90; A61B17/320068; A61B2017/320094; A61B34/37; A61B2217/007; A61B2217/005; A61B2090/366; A61B2090/365; A61B2090/0808; A61B2090/0803; A61B2090/066; A61B2090/065; A61B2090/061; A61B2034/2055; A61B2017/07214; A61B2017/00809; A61B2017/00725; A61B2017/00464; A61B2017/0046; A61B2017/00398; A61B2017/00119; A61B2017/00084; A61B2017/00061; A61B2017/00057; A61B2017/00039; A61B2017/0003; A61B2017/00026; A61B2017/00022; A61B90/98; A61B17/1155; A61B17/0644; A61B17/062; A61B17/0206; A61B2017/00473; A61B2034/2051; A61B2017/2927; A61B2017/00017; A61B5/00; A61B17/07207; A61B2017/00734
US-5447503-A,Guiding catheter tip having a tapered tip with an expandable lumen,An angioplasty system including a guiding catheter for inserting into and traversing a human blood vessel. The guiding catheter receives and guides a balloon catheter and/or a PTCA guidewire into an area to be treated in a blood vessel. The catheter has an elongate body with a proximal end and a distal end and is made out of a flexible and dimensionally stable material to afford an expandable lumen and spring properties at the distal end. The distal end has a longitudinal slot for enabling one side wall portion of the catheter wall to slide under the other side wall portion for achieving partially overlapping catheter wall portions and for creating a spiral fold tip. The spiral fold tip is tapered to facilitate movement of the tip through a blood vessel.,19950905,A61M2025/0024; A61M25/0068; A61M2025/107; A61M25/0662; A61M25/104; A61M25/0068; A61M25/0074; A61M25/104; A61M25/0662; A61M2025/0024; A61M25/0074; A61M2025/107
US-8214016-B2,System and method for determining an optimal type and position of an implant,A computer-assisted orthopaedic surgery system includes a device for generating a three dimensional geometrical surface model of a first bone and a database containing three 3 dimensional implant models of a plurality of available implants. The system includes a computer that is configured to permit a user to select from the database a first implant and display on a screen the three dimensional implant model of the first implant. The computer superimposes on the screen the implant model on top of the model of the first bone such that the two models are visually identifiable from one another.,20120703,A61B2034/102; A61B2090/365; A61B34/25; A61B34/20; A61B2034/2055; G06F30/00; A61B2090/365; A61B2034/105; G16H50/50; A61B34/25; A61B2034/102; A61B2034/105; A61B2034/2055; A61B2034/108; A61B34/10; A61B2034/256; G16H50/50; A61B2034/256; A61B34/10; A61B2034/108; A61B34/20
US-2014228860-A1,"Automated Design, Selection, Manufacturing and Implantation of Patient-Adapted and Improved Articular Implants, Designs and Related Guide Tools","Disclosed are automated systems, devices and methods that facilitate the design, selection, manufacturing and/or implantation of improved and/or patient-adapted (e.g., patient-specific and/or patient-engineered) orthopedic implants and guide tools, as well as associated methods, designs and models.",20140814,A61F2/30942; A61B34/10; A61F2002/4632; A61F2002/30952; A61B34/10; A61F2002/30948; A61F2002/30952; A61F2/3859; A61F2002/4632; A61B34/30; A61B34/30; A61F2/30942; A61F2/3859; A61F2002/30948; A61B19/2203; A61B19/50
US-2006087746-A1,Remote augmented motor-sensory interface for surgery,"A portable augmented motor-sensory interface (“PAMI”) system for “tele-controlled” surgery includes a PAMI tele-controller and a portable PAMI medical field unit positioned at a different, distant location and configured for wireless communications with the tele-controller. (“Tele-control” refers to electronically translating and/or transmitting a physician&#39;s actions over a long distance.) The field unit has a surgical module, including robotic effectors/arms, configured for carrying out medical procedures, and a video sensor boom for electronically viewing a wound site. The tele-controller has a user interface with input controls and a display that outputs sensory information relating to the patient and field unit. For treating a patient, the field unit is deployed next to the patient and a communications link is established to the tele-controller. A physician at the tele-controller receives sensory input from the field unit through the user interface display, and manipulates the input controls for tele-controlling the surgical module.",20060427,A61B34/76; A61B34/76; A61B90/361; A61B34/70; A61B34/37; A61B90/361; A61B34/37; A61B34/70; A61B34/30; A61B34/30
US-10595880-B2,Systems and methods for haptic control of a surgical tool,"A surgical system includes a surgical tool and a processing circuit. The processing circuit is configured to provide a plurality of virtual haptic interaction points where each virtual haptic interaction point is associated with a portion of the surgical tool such that movement of the surgical tool corresponds to movement of the plurality of virtual haptic interaction points, establish a haptic object that defines a working boundary for the surgical tool, and constrain at least one of the portions of the surgical tool based on a relationship between at least one of the plurality of virtual haptic interaction points and the haptic object.",20200324,A61B34/30; A61B17/157; A61B90/03; A61B17/157; A61B34/20; A61B17/142; A61B17/15; A61B17/1615; A61B34/25; A61B90/03; A61B34/25; A61B2017/00128; A61B34/20; A61B2034/105; A61B34/76; A61B17/142; A61B2034/2055; A61B2034/2055; A61B17/1703; A61B2017/00128; A61B34/76; A61B2034/105; A61B17/1703; A61B90/03; A61B2034/105; A61B34/30; A61B17/15; A61B2034/2055; A61B17/157; A61B34/76; A61B34/25; A61B17/1615; A61B34/20; A61B2017/00128; A61B17/142; A61B34/30
