id,x,y
US-11707765-B2,34.70672,-62.830097
US-3578102-A,39.016872,-69.64314
US-3984805-A,36.666992,-66.33319
US-4098133-A,31.715088,-68.03552
US-4710656-A,45.41655,-68.006836
US-4749891-A,41.49949,-71.02825
US-4788968-A,46.63084,-73.89014
US-4982374-A,36.55248,-67.42003
JP-H03113337-A,-83.14434,37.618732
US-5136194-A,49.264168,-67.98426
WO-9318475-A1,-83.14434,37.618732
US-5327120-A,39.40374,-72.1137
US-5589828-A,37.86318,-52.92842
US-5643087-A,34.8179,-49.82993
US-10921904-B2,42.6049,-41.604393
US-5666138-A,38.585144,-45.66409
US-5780948-A,40.393677,-69.89758
US-5825663-A,40.730648,-67.36699
US-5857986-A,32.74664,-62.881214
US-5903077-A,38.334183,-65.652306
US-5923317-A,42.739872,-43.387836
US-5929607-A,32.1095,-51.73586
US-6002184-A,52.152752,-64.50362
US-6009986-A,39.852226,-70.662834
US-6023116-A,45.115612,-69.36024
US-12099655-B2,39.205963,-60.622276
US-6147422-A,52.152752,-64.50362
JP-2000333464-A,-83.14434,37.618732
US-6208497-B1,52.34329,-69.42021
US-6236125-B1,49.192524,-68.14328
JP-2001212508-A,-83.14434,37.618732
US-6275213-B1,32.499454,-63.737637
US-6307285-B1,52.152752,-64.50362
US-2002024503-A1,43.644493,-48.358204
US-6389941-B1,41.971386,-64.120865
US-6397285-B1,35.10471,-44.515854
US-2002080112-A1,34.805473,-57.020542
US-12374978-B2,40.13424,-65.36458
US-6424333-B1,32.49982,-63.737896
JP-2002205008-A,-83.14434,37.618732
EP-1226852-A2,-83.14434,37.618732
US-6504278-B1,41.16129,-68.06532
US-2003030619-A1,33.478157,-53.79807
US-2003038774-A1,47.524315,-55.773384
JP-2003199974-A,-83.14434,37.618732
US-6618646-B1,49.722874,-76.373795
US-6641480-B2,34.909794,-53.171154
JP-2003345233-A,-82.496376,58.549686
US-6679776-B1,34.082787,-62.94009
US-6693622-B1,34.646133,-60.50251
US-6704001-B1,33.343956,-50.76141
US-6742960-B2,38.971493,-67.80074
US-2004108992-A1,29.291367,-51.17086
JP-2004174309-A,-73.91062,26.89833
US-2004164959-A1,36.223507,-48.5003
US-2004169480-A1,42.78797,-67.85619
US-2004183782-A1,32.84122,-55.991962
US-2004183487-A1,42.776314,-67.938774
US-6809727-B2,47.523506,-55.772713
US-2004227727-A1,33.343987,-50.761456
US-2004233161-A1,34.656025,-60.509953
US-2004233167-A1,31.810932,-53.379547
US-6824468-B2,34.90974,-53.171265
US-2005030284-A1,34.806374,-57.02075
US-6864877-B2,34.806774,-57.02145
US-2005052415-A1,34.805378,-57.019783
US-6873067-B2,44.93103,-75.9369
US-2005077845-A1,38.248676,-65.65643
US-6883373-B2,49.72154,-76.373634
US-2005128186-A1,33.485806,-54.002502
US-2005134561-A1,25.62022,-59.76729
US-2005134562-A1,29.744123,-63.222294
US-2005195168-A1,32.379467,-51.69511
US-2005219206-A1,34.980255,-61.054344
US-2005221894-A1,43.60589,-42.54827
US-2005237314-A1,33.789295,-58.038815
US-6982696-B1,48.29933,-64.799736
US-2006015045-A1,33.24488,-66.73568
US-6992462-B1,40.091488,-43.774075
US-7084854-B1,34.06813,-57.487934
US-7091948-B2,30.023987,-52.95377
US-2006290662-A1,36.012836,-63.125126
US-11263879-B2,29.772928,-68.87452
US-7182691-B1,33.930683,-56.26437
US-7209118-B2,35.79192,-58.84226
US-2007091063-A1,26.444777,-56.49595
US-7218310-B2,35.82592,-60.619587
US-2007236450-A1,31.44215,-56.354008
US-2007265077-A1,35.853798,-56.700455
